sub_module,layer_idx,channel,gamma_llm,gamma_vlm,abs_delta,rel_delta
q_norm,0,30,0.02392578125,0.018798828125,0.005126953125,0.2142857164144516
q_norm,0,31,1.515625,1.5546875,0.0390625,0.025773195549845695
q_norm,0,32,1.703125,1.734375,0.03125,0.01834862306714058
q_norm,0,33,1.4140625,1.4453125,0.03125,0.0220994483679533
q_norm,0,34,1.8046875,1.84375,0.0390625,0.021645022556185722
q_norm,0,35,1.6640625,1.703125,0.0390625,0.023474179208278656
q_norm,0,36,0.0162353515625,0.01409912109375,0.00213623046875,0.1315789520740509
q_norm,0,37,1.859375,1.8984375,0.0390625,0.021008403971791267
q_norm,0,38,1.6796875,1.7109375,0.03125,0.01860465109348297
q_norm,0,39,1.7734375,1.8125,0.0390625,0.022026430815458298
q_norm,0,40,1.7578125,1.796875,0.0390625,0.02222222276031971
q_norm,0,41,1.921875,1.953125,0.03125,0.016260161995887756
q_norm,0,42,1.859375,1.8984375,0.0390625,0.021008403971791267
q_norm,0,43,1.9296875,1.9609375,0.03125,0.016194332391023636
q_norm,0,44,1.84375,1.875,0.03125,0.016949152573943138
q_norm,0,45,1.90625,1.9453125,0.0390625,0.02049180306494236
q_norm,0,46,1.765625,1.8046875,0.0390625,0.022123893722891808
q_norm,0,47,1.71875,1.75,0.03125,0.0181818176060915
q_norm,0,48,1.0625,1.09375,0.03125,0.029411764815449715
q_norm,0,49,1.5234375,1.5546875,0.03125,0.020512821152806282
q_norm,0,50,2.140625,2.1875,0.046875,0.021897809579968452
q_norm,0,51,0.002227783203125,0.00347900390625,0.001251220703125,0.5616438388824463
q_norm,0,52,1.796875,1.828125,0.03125,0.017391303554177284
q_norm,0,53,2.046875,2.109375,0.0625,0.030534351244568825
q_norm,0,54,2.859375,2.90625,0.046875,0.016393441706895828
q_norm,0,55,3.046875,3.078125,0.03125,0.010256410576403141
q_norm,0,56,2.171875,2.21875,0.046875,0.02158273383975029
q_norm,0,57,2.03125,2.078125,0.046875,0.023076923564076424
q_norm,0,58,2.28125,2.3125,0.03125,0.013698630034923553
q_norm,0,59,1.671875,1.7109375,0.0390625,0.023364486172795296
q_norm,0,60,2.0625,2.09375,0.03125,0.01515151560306549
q_norm,0,61,1.9765625,2.015625,0.0390625,0.01976284570991993
q_norm,0,62,1.84375,1.8828125,0.0390625,0.02118644118309021
q_norm,0,63,2.046875,2.09375,0.046875,0.022900763899087906
q_norm,0,64,1.6796875,1.703125,0.0234375,0.013953488320112228
q_norm,0,65,1.6875,1.7421875,0.0546875,0.032407406717538834
q_norm,0,66,1.9453125,1.984375,0.0390625,0.0200803205370903
q_norm,0,67,1.8671875,1.8984375,0.03125,0.016736401244997978
q_norm,0,68,1.125,1.1953125,0.0703125,0.0625
q_norm,0,69,1.8125,1.84375,0.03125,0.017241379246115685
q_norm,0,70,1.7421875,1.7734375,0.03125,0.017937220633029938
q_norm,0,71,1.6875,1.71875,0.03125,0.018518518656492233
q_norm,0,72,1.8984375,1.9296875,0.03125,0.016460904851555824
q_norm,0,73,1.765625,1.7890625,0.0234375,0.013274336233735085
q_norm,0,74,1.7265625,1.765625,0.0390625,0.022624434903264046
q_norm,0,75,1.796875,1.84375,0.046875,0.0260869562625885
q_norm,0,76,0.15625,0.166015625,0.009765625,0.0625
q_norm,0,77,1.984375,1.9921875,0.0078125,0.003937007859349251
q_norm,0,78,1.859375,1.8984375,0.0390625,0.021008403971791267
q_norm,0,79,-0.068359375,-0.049072265625,0.019287109375,0.28214284777641296
q_norm,0,80,1.8125,1.8515625,0.0390625,0.021551724523305893
q_norm,0,81,0.46875,0.48828125,0.01953125,0.0416666679084301
q_norm,0,82,1.828125,1.8671875,0.0390625,0.021367521956562996
q_norm,0,83,1.8125,1.8515625,0.0390625,0.021551724523305893
q_norm,0,84,1.8125,1.859375,0.046875,0.0258620698004961
q_norm,0,85,0.11376953125,0.1064453125,0.00732421875,0.06437768042087555
q_norm,0,86,1.8359375,1.875,0.0390625,0.021276595070958138
q_norm,0,87,1.6015625,1.6328125,0.03125,0.019512195140123367
q_norm,0,88,1.859375,1.8984375,0.0390625,0.021008403971791267
q_norm,0,89,1.859375,1.8984375,0.0390625,0.021008403971791267
q_norm,0,90,1.7421875,1.796875,0.0546875,0.03139013424515724
q_norm,0,91,1.5625,1.578125,0.015625,0.009999999776482582
q_norm,0,92,1.8125,1.8515625,0.0390625,0.021551724523305893
q_norm,0,93,1.734375,1.765625,0.03125,0.018018018454313278
q_norm,0,94,1.1875,1.2890625,0.1015625,0.08552631735801697
q_norm,0,95,1.5078125,1.5390625,0.03125,0.020725388079881668
q_norm,0,96,1.4609375,1.5,0.0390625,0.026737967506051064
q_norm,0,97,1.46875,1.5,0.03125,0.021276595070958138
q_norm,0,98,1.8125,1.8515625,0.0390625,0.021551724523305893
q_norm,0,99,1.2578125,1.2890625,0.03125,0.02484472095966339
q_norm,0,100,2.125,2.34375,0.21875,0.10294117778539658
q_norm,0,101,1.8515625,1.890625,0.0390625,0.02109704725444317
q_norm,0,102,1.671875,1.703125,0.03125,0.018691588193178177
q_norm,0,103,1.875,1.9140625,0.0390625,0.02083333395421505
q_norm,0,104,1.90625,1.9375,0.03125,0.016393441706895828
q_norm,0,105,1.78125,1.8203125,0.0390625,0.021929824724793434
q_norm,0,106,1.765625,1.8046875,0.0390625,0.022123893722891808
q_norm,0,107,1.8515625,1.890625,0.0390625,0.02109704725444317
q_norm,0,108,1.875,1.9140625,0.0390625,0.02083333395421505
q_norm,0,109,1.7890625,1.828125,0.0390625,0.021834060549736023
q_norm,0,110,1.9609375,1.9921875,0.03125,0.01593625545501709
q_norm,0,111,1.9296875,1.96875,0.0390625,0.02024291455745697
q_norm,0,112,3.4375,3.46875,0.03125,0.00909090880304575
q_norm,0,113,2.34375,2.375,0.03125,0.013333333656191826
q_norm,0,114,1.671875,1.703125,0.03125,0.018691588193178177
q_norm,0,115,1.3125,1.484375,0.171875,0.130952388048172
q_norm,0,116,1.96875,2.015625,0.046875,0.02380952425301075
q_norm,0,117,1.625,1.65625,0.03125,0.01923076994717121
q_norm,0,118,1.1796875,1.21875,0.0390625,0.03311258181929588
q_norm,0,119,0.8359375,0.86328125,0.02734375,0.032710280269384384
q_norm,0,120,1.6171875,1.65625,0.0390625,0.02415458858013153
q_norm,0,121,1.625,1.6640625,0.0390625,0.024038461968302727
q_norm,0,122,1.46875,1.5,0.03125,0.021276595070958138
q_norm,0,123,2.03125,2.0625,0.03125,0.015384615398943424
q_norm,0,124,1.65625,1.6875,0.03125,0.01886792480945587
q_norm,0,125,1.6484375,1.6796875,0.03125,0.01895734667778015
q_norm,0,126,1.8515625,1.890625,0.0390625,0.02109704725444317
q_norm,0,127,1.65625,1.6953125,0.0390625,0.02358490601181984
q_norm,1,0,1.6875,1.703125,0.015625,0.009259259328246117
q_norm,1,1,1.5546875,1.59375,0.0390625,0.02512562833726406
q_norm,1,2,1.4453125,1.5078125,0.0625,0.04324324429035187
q_norm,1,3,1.3828125,1.40625,0.0234375,0.016949152573943138
q_norm,1,4,1.3671875,1.40625,0.0390625,0.02857142873108387
q_norm,1,5,1.484375,1.515625,0.03125,0.021052632480859756
q_norm,1,6,1.3203125,1.3359375,0.015625,0.011834319680929184
q_norm,1,7,1.2734375,1.296875,0.0234375,0.01840490847826004
q_norm,1,8,0.033203125,0.034423828125,0.001220703125,0.036764707416296005
q_norm,1,9,1.5,1.5078125,0.0078125,0.0052083334885537624
q_norm,1,10,1.921875,1.9453125,0.0234375,0.012195121496915817
q_norm,1,11,1.6484375,1.671875,0.0234375,0.014218009077012539
q_norm,1,12,1.296875,1.2890625,0.0078125,0.0060240961611270905
q_norm,1,13,1.359375,1.390625,0.03125,0.02298850566148758
q_norm,1,14,1.40625,1.421875,0.015625,0.011111111380159855
q_norm,1,15,1.078125,1.1015625,0.0234375,0.021739130839705467
q_norm,1,16,1.828125,1.84375,0.015625,0.008547008968889713
q_norm,1,17,1.546875,1.5703125,0.0234375,0.01515151560306549
q_norm,1,18,0.90234375,0.921875,0.01953125,0.021645022556185722
q_norm,1,19,1.46875,1.484375,0.015625,0.010638297535479069
q_norm,1,20,0.88671875,0.921875,0.03515625,0.039647575467824936
q_norm,1,21,1.703125,1.7265625,0.0234375,0.013761468231678009
q_norm,1,22,1.5546875,1.59375,0.0390625,0.02512562833726406
q_norm,1,23,1.65625,1.671875,0.015625,0.009433962404727936
q_norm,1,24,1.78125,1.796875,0.015625,0.008771929889917374
q_norm,1,25,1.609375,1.625,0.015625,0.009708737954497337
q_norm,1,26,1.65625,1.6953125,0.0390625,0.02358490601181984
q_norm,1,27,0.85546875,0.859375,0.00390625,0.004566209856420755
q_norm,1,28,1.7890625,1.796875,0.0078125,0.0043668122962117195
q_norm,1,29,1.796875,1.8046875,0.0078125,0.004347825888544321
q_norm,1,30,1.6796875,1.6875,0.0078125,0.004651162773370743
q_norm,1,31,0.6015625,0.609375,0.0078125,0.012987012974917889
q_norm,1,32,1.8515625,1.8671875,0.015625,0.008438818156719208
q_norm,1,33,1.9375,1.9765625,0.0390625,0.02016128972172737
q_norm,1,34,1.5625,1.6015625,0.0390625,0.02500000037252903
q_norm,1,35,1.34375,1.359375,0.015625,0.011627906933426857
q_norm,1,36,2.59375,2.6875,0.09375,0.03614457696676254
q_norm,1,37,1.8828125,1.8984375,0.015625,0.008298755623400211
q_norm,1,38,0.87109375,0.890625,0.01953125,0.022421523928642273
q_norm,1,39,1.703125,1.71875,0.015625,0.00917431153357029
q_norm,1,40,1.2109375,1.21875,0.0078125,0.006451612804085016
q_norm,1,41,1.6875,1.703125,0.015625,0.009259259328246117
q_norm,1,42,1.609375,1.625,0.015625,0.009708737954497337
q_norm,1,43,1.5703125,1.578125,0.0078125,0.004975124262273312
q_norm,1,44,1.65625,1.6640625,0.0078125,0.004716981202363968
q_norm,1,45,1.59375,1.6015625,0.0078125,0.0049019609577953815
q_norm,1,46,1.015625,1.0234375,0.0078125,0.007692307699471712
q_norm,1,47,2.609375,2.625,0.015625,0.005988024175167084
q_norm,1,48,2.078125,2.09375,0.015625,0.007518797181546688
q_norm,1,49,1.734375,1.7421875,0.0078125,0.0045045046135783195
q_norm,1,50,0.2890625,0.3046875,0.015625,0.054054055362939835
q_norm,1,51,2.109375,2.125,0.015625,0.007407407276332378
q_norm,1,52,1.703125,1.7109375,0.0078125,0.004587155766785145
q_norm,1,53,1.765625,1.7734375,0.0078125,0.0044247787445783615
q_norm,1,54,3.859375,3.875,0.015625,0.004048583097755909
q_norm,1,55,2.828125,2.828125,0.0,0.0
q_norm,1,56,1.1953125,1.203125,0.0078125,0.006535947788506746
q_norm,1,57,1.6015625,1.609375,0.0078125,0.004878048785030842
q_norm,1,58,2.59375,2.59375,0.0,0.0
q_norm,1,59,1.8828125,1.890625,0.0078125,0.004149377811700106
q_norm,1,60,1.7578125,1.765625,0.0078125,0.004444444552063942
q_norm,1,61,1.53125,1.5390625,0.0078125,0.005102040711790323
q_norm,1,62,1.609375,1.609375,0.0,0.0
q_norm,1,63,1.953125,1.96875,0.015625,0.00800000037997961
q_norm,1,64,0.9609375,0.97265625,0.01171875,0.012195121496915817
q_norm,1,65,1.46875,1.5078125,0.0390625,0.026595745235681534
q_norm,1,66,1.3828125,1.4296875,0.046875,0.033898305147886276
q_norm,1,67,1.40625,1.421875,0.015625,0.011111111380159855
q_norm,1,68,1.2890625,1.328125,0.0390625,0.03030303120613098
q_norm,1,69,1.5546875,1.6015625,0.046875,0.030150754377245903
q_norm,1,70,1.296875,1.3125,0.015625,0.012048192322254181
q_norm,1,71,1.4296875,1.4609375,0.03125,0.02185792289674282
q_norm,1,72,1.546875,1.5859375,0.0390625,0.02525252476334572
q_norm,1,73,1.4375,1.453125,0.015625,0.010869565419852734
q_norm,1,74,1.5234375,1.5625,0.0390625,0.025641025975346565
q_norm,1,75,1.09375,1.140625,0.046875,0.04285714402794838
q_norm,1,76,1.25,1.28125,0.03125,0.02500000037252903
q_norm,1,77,1.5390625,1.546875,0.0078125,0.005076142027974129
q_norm,1,78,1.3984375,1.421875,0.0234375,0.016759777441620827
q_norm,1,79,1.265625,1.296875,0.03125,0.02469135820865631
q_norm,1,80,1.765625,1.7890625,0.0234375,0.013274336233735085
q_norm,1,81,1.421875,1.4296875,0.0078125,0.005494505632668734
q_norm,1,82,2.015625,2.046875,0.03125,0.01550387591123581
q_norm,1,83,0.0289306640625,0.0296630859375,0.000732421875,0.025316456332802773
q_norm,1,84,1.5859375,1.6015625,0.015625,0.009852216579020023
q_norm,1,85,1.6953125,1.7109375,0.015625,0.009216589853167534
q_norm,1,86,0.97265625,0.984375,0.01171875,0.012048192322254181
q_norm,1,87,1.84375,1.8515625,0.0078125,0.0042372881434857845
q_norm,1,88,1.734375,1.7421875,0.0078125,0.0045045046135783195
q_norm,1,89,1.4609375,1.4765625,0.015625,0.010695187374949455
q_norm,1,90,0.984375,0.99609375,0.01171875,0.011904762126505375
q_norm,1,91,2.21875,2.265625,0.046875,0.0211267601698637
q_norm,1,92,1.8359375,1.859375,0.0234375,0.012765957042574883
q_norm,1,93,1.8359375,1.8515625,0.015625,0.008510638028383255
q_norm,1,94,1.6953125,1.703125,0.0078125,0.004608294926583767
q_norm,1,95,2.0625,2.140625,0.078125,0.03787878900766373
q_norm,1,96,1.625,1.6328125,0.0078125,0.004807692486792803
q_norm,1,97,1.171875,1.1875,0.015625,0.013333333656191826
q_norm,1,98,0.9140625,0.92578125,0.01171875,0.012820512987673283
q_norm,1,99,1.890625,1.90625,0.015625,0.00826446246355772
q_norm,1,100,0.150390625,0.1533203125,0.0029296875,0.019480518996715546
q_norm,1,101,1.4921875,1.5078125,0.015625,0.010471204295754433
q_norm,1,102,1.5390625,1.578125,0.0390625,0.025380710139870644
q_norm,1,103,1.7578125,1.765625,0.0078125,0.004444444552063942
q_norm,1,104,1.546875,1.5546875,0.0078125,0.005050505045801401
q_norm,1,105,1.6640625,1.671875,0.0078125,0.004694835748523474
q_norm,1,106,1.6484375,1.65625,0.0078125,0.004739336669445038
q_norm,1,107,1.6484375,1.65625,0.0078125,0.004739336669445038
q_norm,1,108,1.7109375,1.71875,0.0078125,0.004566209856420755
q_norm,1,109,1.5703125,1.578125,0.0078125,0.004975124262273312
q_norm,1,110,2.359375,2.359375,0.0,0.0
q_norm,1,111,1.234375,1.2421875,0.0078125,0.006329114083200693
q_norm,1,112,1.1171875,1.125,0.0078125,0.00699300691485405
q_norm,1,113,1.875,1.8828125,0.0078125,0.004166666883975267
q_norm,1,114,2.3125,2.359375,0.046875,0.020270269364118576
q_norm,1,115,1.3671875,1.375,0.0078125,0.0057142856530845165
q_norm,1,116,1.8359375,1.84375,0.0078125,0.0042553190141916275
q_norm,1,117,1.7109375,1.71875,0.0078125,0.004566209856420755
q_norm,1,118,0.66015625,0.66796875,0.0078125,0.011834319680929184
q_norm,1,119,1.3203125,1.328125,0.0078125,0.005917159840464592
q_norm,1,120,2.234375,2.25,0.015625,0.00699300691485405
q_norm,1,121,1.8828125,1.890625,0.0078125,0.004149377811700106
q_norm,1,122,1.28125,1.2890625,0.0078125,0.006097560748457909
q_norm,1,123,1.75,1.7578125,0.0078125,0.004464285913854837
q_norm,1,124,1.7734375,1.7734375,0.0,0.0
q_norm,1,125,1.8515625,1.859375,0.0078125,0.004219409078359604
q_norm,1,126,1.9296875,1.9375,0.0078125,0.004048583097755909
q_norm,1,127,1.9453125,1.953125,0.0078125,0.00401606410741806
q_norm,2,0,1.0703125,1.078125,0.0078125,0.007299270015209913
q_norm,2,1,1.078125,1.09375,0.015625,0.014492753893136978
q_norm,2,2,1.46875,1.5,0.03125,0.021276595070958138
q_norm,2,3,1.3515625,1.3515625,0.0,0.0
q_norm,2,4,1.5390625,1.546875,0.0078125,0.005076142027974129
q_norm,2,5,1.2421875,1.265625,0.0234375,0.01886792480945587
q_norm,2,6,1.1796875,1.1796875,0.0,0.0
q_norm,2,7,1.3828125,1.390625,0.0078125,0.005649717524647713
q_norm,2,8,1.84375,1.859375,0.015625,0.008474576286971569
q_norm,2,9,0.65625,0.6796875,0.0234375,0.0357142873108387
q_norm,2,10,1.4765625,1.5,0.0234375,0.01587301678955555
q_norm,2,11,1.328125,1.3515625,0.0234375,0.01764705963432789
q_norm,2,12,1.6015625,1.625,0.0234375,0.014634146355092525
q_norm,2,13,1.3125,1.3359375,0.0234375,0.01785714365541935
q_norm,2,14,1.421875,1.4375,0.015625,0.010989011265337467
q_norm,2,15,1.984375,2.0,0.015625,0.007874015718698502
q_norm,2,16,1.4296875,1.453125,0.0234375,0.016393441706895828
q_norm,2,17,1.0078125,1.015625,0.0078125,0.007751937955617905
q_norm,2,18,1.0625,1.0703125,0.0078125,0.007352941203862429
q_norm,2,19,0.014892578125,0.0201416015625,0.0052490234375,0.35245901346206665
q_norm,2,20,0.447265625,0.44921875,0.001953125,0.0043668122962117195
q_norm,2,21,1.9140625,1.9140625,0.0,0.0
q_norm,2,22,1.3125,1.328125,0.015625,0.011904762126505375
q_norm,2,23,1.2265625,1.234375,0.0078125,0.006369426846504211
q_norm,2,24,1.7578125,1.7734375,0.015625,0.008888889104127884
q_norm,2,25,1.5,1.515625,0.015625,0.010416666977107525
q_norm,2,26,1.59375,1.6171875,0.0234375,0.014705882407724857
q_norm,2,27,1.71875,1.7578125,0.0390625,0.022727273404598236
q_norm,2,28,1.6328125,1.6484375,0.015625,0.009569377638399601
q_norm,2,29,1.34375,1.3671875,0.0234375,0.01744186133146286
q_norm,2,30,1.6875,1.6953125,0.0078125,0.004629629664123058
q_norm,2,31,1.3359375,1.34375,0.0078125,0.005847953259944916
q_norm,2,32,1.5703125,1.5859375,0.015625,0.009950248524546623
q_norm,2,33,1.546875,1.5546875,0.0078125,0.005050505045801401
q_norm,2,34,3.421875,3.5,0.078125,0.02283105067908764
q_norm,2,35,1.5625,1.578125,0.015625,0.009999999776482582
q_norm,2,36,1.6953125,1.7109375,0.015625,0.009216589853167534
q_norm,2,37,2.015625,2.046875,0.03125,0.01550387591123581
q_norm,2,38,1.7421875,1.7578125,0.015625,0.008968610316514969
q_norm,2,39,1.703125,1.71875,0.015625,0.00917431153357029
q_norm,2,40,1.6953125,1.7109375,0.015625,0.009216589853167534
q_norm,2,41,1.8984375,1.9140625,0.015625,0.008230452425777912
q_norm,2,42,2.40625,2.46875,0.0625,0.025974025949835777
q_norm,2,43,1.515625,1.5234375,0.0078125,0.005154639016836882
q_norm,2,44,1.5859375,1.6015625,0.015625,0.009852216579020023
q_norm,2,45,2.03125,2.046875,0.015625,0.007692307699471712
q_norm,2,46,1.3828125,1.390625,0.0078125,0.005649717524647713
q_norm,2,47,1.8125,1.8203125,0.0078125,0.004310344811528921
q_norm,2,48,0.435546875,0.4375,0.001953125,0.0044843051582574844
q_norm,2,49,1.5,1.5078125,0.0078125,0.0052083334885537624
q_norm,2,50,1.53125,1.5390625,0.0078125,0.005102040711790323
q_norm,2,51,1.8203125,1.8203125,0.0,0.0
q_norm,2,52,1.796875,1.796875,0.0,0.0
q_norm,2,53,1.7890625,1.7890625,0.0,0.0
q_norm,2,54,1.78125,1.78125,0.0,0.0
q_norm,2,55,1.9375,1.9375,0.0,0.0
q_norm,2,56,1.7734375,1.7734375,0.0,0.0
q_norm,2,57,1.8203125,1.8203125,0.0,0.0
q_norm,2,58,1.609375,1.609375,0.0,0.0
q_norm,2,59,1.8984375,1.8984375,0.0,0.0
q_norm,2,60,1.875,1.875,0.0,0.0
q_norm,2,61,1.7265625,1.734375,0.0078125,0.004524887073785067
q_norm,2,62,1.703125,1.703125,0.0,0.0
q_norm,2,63,1.921875,1.921875,0.0,0.0
q_norm,2,64,1.2578125,1.2734375,0.015625,0.012422360479831696
q_norm,2,65,1.3515625,1.390625,0.0390625,0.028901733458042145
q_norm,2,66,1.078125,1.1015625,0.0234375,0.021739130839705467
q_norm,2,67,1.1875,1.203125,0.015625,0.01315789483487606
q_norm,2,68,1.921875,1.9375,0.015625,0.008130080997943878
q_norm,2,69,1.8515625,1.875,0.0234375,0.012658228166401386
q_norm,2,70,1.328125,1.3359375,0.0078125,0.0058823530562222
q_norm,2,71,1.484375,1.5,0.015625,0.010526316240429878
q_norm,2,72,1.3359375,1.34375,0.0078125,0.005847953259944916
q_norm,2,73,0.99609375,1.0078125,0.01171875,0.0117647061124444
q_norm,2,74,1.5,1.515625,0.015625,0.010416666977107525
q_norm,2,75,1.6015625,1.6171875,0.015625,0.009756097570061684
q_norm,2,76,1.4453125,1.453125,0.0078125,0.0054054055362939835
q_norm,2,77,1.46875,1.4765625,0.0078125,0.005319148767739534
q_norm,2,78,1.5625,1.5703125,0.0078125,0.004999999888241291
q_norm,2,79,1.7265625,1.734375,0.0078125,0.004524887073785067
q_norm,2,80,1.59375,1.609375,0.015625,0.009803921915590763
q_norm,2,81,1.1328125,1.1484375,0.015625,0.013793103396892548
q_norm,2,82,1.0859375,1.1015625,0.015625,0.014388489536941051
q_norm,2,83,1.8359375,1.8359375,0.0,0.0
q_norm,2,84,1.734375,1.7734375,0.0390625,0.022522522136569023
q_norm,2,85,0.05615234375,0.056640625,0.00048828125,0.008695651777088642
q_norm,2,86,1.4453125,1.4609375,0.015625,0.010810811072587967
q_norm,2,87,1.515625,1.546875,0.03125,0.020618556067347527
q_norm,2,88,1.7265625,1.734375,0.0078125,0.004524887073785067
q_norm,2,89,1.515625,1.53125,0.015625,0.010309278033673763
q_norm,2,90,1.5625,1.578125,0.015625,0.009999999776482582
q_norm,2,91,1.0859375,1.078125,0.0078125,0.007194244768470526
q_norm,2,92,1.6796875,1.6953125,0.015625,0.009302325546741486
q_norm,2,93,1.0234375,1.03125,0.0078125,0.007633587811142206
q_norm,2,94,1.703125,1.7109375,0.0078125,0.004587155766785145
q_norm,2,95,1.3515625,1.3671875,0.015625,0.011560693383216858
q_norm,2,96,1.6171875,1.6328125,0.015625,0.009661835618317127
q_norm,2,97,1.625,1.640625,0.015625,0.009615384973585606
q_norm,2,98,0.20703125,0.1904296875,0.0166015625,0.08018867671489716
q_norm,2,99,1.5234375,1.5234375,0.0,0.0
q_norm,2,100,1.6171875,1.625,0.0078125,0.004830917809158564
q_norm,2,101,1.125,1.1328125,0.0078125,0.0069444444961845875
q_norm,2,102,1.75,1.765625,0.015625,0.008928571827709675
q_norm,2,103,1.796875,1.8125,0.015625,0.008695651777088642
q_norm,2,104,1.6953125,1.7109375,0.015625,0.009216589853167534
q_norm,2,105,1.5703125,1.578125,0.0078125,0.004975124262273312
q_norm,2,106,0.52734375,0.52734375,0.0,0.0
q_norm,2,107,2.015625,2.03125,0.015625,0.007751937955617905
q_norm,2,108,1.9375,1.953125,0.015625,0.008064515888690948
q_norm,2,109,1.6640625,1.671875,0.0078125,0.004694835748523474
q_norm,2,110,2.390625,2.40625,0.015625,0.006535947788506746
q_norm,2,111,1.875,1.8828125,0.0078125,0.004166666883975267
q_norm,2,112,1.5390625,1.5546875,0.015625,0.010152284055948257
q_norm,2,113,2.078125,2.078125,0.0,0.0
q_norm,2,114,2.203125,2.203125,0.0,0.0
q_norm,2,115,1.6484375,1.65625,0.0078125,0.004739336669445038
q_norm,2,116,1.9453125,1.9453125,0.0,0.0
q_norm,2,117,1.625,1.625,0.0,0.0
q_norm,2,118,1.8828125,1.8828125,0.0,0.0
q_norm,2,119,1.7890625,1.7890625,0.0,0.0
q_norm,2,120,1.953125,1.953125,0.0,0.0
q_norm,2,121,1.6640625,1.6640625,0.0,0.0
q_norm,2,122,1.734375,1.734375,0.0,0.0
q_norm,2,123,1.8359375,1.8359375,0.0,0.0
q_norm,2,124,1.9921875,2.0,0.0078125,0.003921568859368563
q_norm,2,125,1.953125,1.953125,0.0,0.0
q_norm,2,126,1.890625,1.890625,0.0,0.0
q_norm,2,127,1.8203125,1.8125,0.0078125,0.004291845485568047
q_norm,3,0,1.140625,1.15625,0.015625,0.013698630034923553
q_norm,3,1,1.1328125,1.171875,0.0390625,0.03448275849223137
q_norm,3,2,1.390625,1.421875,0.03125,0.02247191034257412
q_norm,3,3,-0.01336669921875,-0.0155029296875,0.00213623046875,0.15981735289096832
q_norm,3,4,1.0859375,1.1328125,0.046875,0.04316546767950058
q_norm,3,5,-0.0164794921875,-0.014404296875,0.0020751953125,0.1259259283542633
q_norm,3,6,1.8515625,1.859375,0.0078125,0.004219409078359604
q_norm,3,7,0.023193359375,0.01953125,0.003662109375,0.15789473056793213
q_norm,3,8,1.203125,1.234375,0.03125,0.025974025949835777
q_norm,3,9,0.373046875,0.3671875,0.005859375,0.015706805512309074
q_norm,3,10,1.4765625,1.5,0.0234375,0.01587301678955555
q_norm,3,11,0.671875,0.6953125,0.0234375,0.03488372266292572
q_norm,3,12,1.3671875,1.3828125,0.015625,0.011428571306169033
q_norm,3,13,1.53125,1.546875,0.015625,0.010204081423580647
q_norm,3,14,1.4921875,1.515625,0.0234375,0.015706805512309074
q_norm,3,15,1.2734375,1.2734375,0.0,0.0
q_norm,3,16,1.6875,1.7109375,0.0234375,0.013888888992369175
q_norm,3,17,1.296875,1.3046875,0.0078125,0.0060240961611270905
q_norm,3,18,0.0279541015625,0.0052490234375,0.022705078125,0.8122270703315735
q_norm,3,19,1.703125,1.71875,0.015625,0.00917431153357029
q_norm,3,20,1.515625,1.53125,0.015625,0.010309278033673763
q_norm,3,21,1.78125,1.796875,0.015625,0.008771929889917374
q_norm,3,22,1.6796875,1.7109375,0.03125,0.01860465109348297
q_norm,3,23,1.421875,1.4296875,0.0078125,0.005494505632668734
q_norm,3,24,1.6875,1.6953125,0.0078125,0.004629629664123058
